0.5	7.4	6.1
1	7.52	6.2
1.5	7.54	6.23
2	7.54	6.26
2.5	7.53	6.29
3	7.49	6.31
3.5	7.45	6.32
4	7.4	6.33
4.5	7.33	6.32
5	7.24	6.32
5.5	7.15	6.3
6	7.07	6.28
6.5	6.97	6.25
7	6.88	6.21
7.5	6.82	6.17
8	6.77	6.13
8.5	6.73	6.1
9	6.72	6.07
9.5	6.71	6.05
10	6.72	6.04
10.5	6.75	6.02
11	6.77	6.02
11.5	6.79	6.02
12	6.81	6.03
12.5	6.81	6.04
13	6.79	6.04
13.5	6.77	6.05
14	6.73	6.05
14.5	6.68	6.04
15	6.61	6.03
15.5	6.54	6.01
16	6.47	5.99
16.5	6.4	5.96
17	6.33	5.93
17.5	6.29	5.89
18	6.27	5.86
18.5	6.26	5.84
19	6.27	5.82
19.5	6.29	5.8
20	6.32	5.8
20.5	6.35	5.79
21	6.39	5.8
21.5	6.43	5.81
22	6.46	5.83
22.5	6.47	5.84
23	6.46	5.86
23.5	6.45	5.87
24	6.42	5.88
24.5	6.37	5.88
25	6.33	5.87
25.5	6.26	5.86
26	6.19	5.84
26.5	6.14	5.81
27	6.11	5.79
27.5	6.09	5.76
28	6.08	5.74
28.5	6.09	5.72
29	6.11	5.71
29.5	6.14	5.71
30	6.18	5.71
30.5	6.23	5.73
31	6.28	5.74
31.5	6.33	5.75
32	6.37	5.78
32.5	6.39	5.8
33	6.41	5.82
33.5	6.4	5.84
34	6.37	5.86
34.5	6.34	5.86
35	6.3	5.86
35.5	6.24	5.85
36	6.19	5.84
36.5	6.13	5.82
37	6.09	5.8
37.5	6.06	5.77
38	6.05	5.75
38.5	6.07	5.73
39	6.09	5.73
39.5	6.11	5.72
40	6.16	5.72
40.5	6.2	5.73
41	6.24	5.74
41.5	6.29	5.76
42	6.34	5.78
42.5	6.37	5.81
43	6.38	5.83
43.5	6.38	5.85
44	6.36	5.86
44.5	6.33	5.87
45	6.29	5.87
45.5	6.23	5.86
46	6.18	5.86
46.5	6.12	5.84
47	6.09	5.82
47.5	6.07	5.79
48	6.05	5.77
48.5	6.07	5.76
49	6.09	5.75
49.5	6.13	5.75
50	6.17	5.75
50.5	6.21	5.76
51	6.25	5.77
51.5	6.3	5.79
52	6.34	5.82
52.5	6.35	5.83
53	6.35	5.86
53.5	6.33	5.87
54	6.31	5.88
54.5	6.27	5.88
55	6.22	5.88
55.5	6.15	5.86
56	6.18	5.85
56.5	6.05	5.83
57	6	5.8
57.5	5.98	5.77
58	5.98	5.75
58.5	5.99	5.73
59	6.01	5.72
59.5	6.04	5.72
60	6.08	5.72
60.5	6.13	5.73
61	6.16	5.74
61.5	6.22	5.76
62	6.26	5.78
62.5	6.27	5.79
63	6.28	5.82
63.5	6.26	5.83
64	6.23	5.84
64.5	6.2	5.84
65	6.15	5.84
65.5	6.08	5.82
66	6.02	5.8
66.5	5.98	5.79
67	5.94	5.76
67.5	5.92	5.73
68	5.91	5.71
68.5	5.93	5.7
69	5.95	5.68
69.5	5.99	5.68
70	6.03	5.69
70.5	6.09	5.7
71	6.14	5.72
71.5	6.19	5.74
72	6.23	5.76
72.5	6.25	5.79
73	6.25	5.81
73.5	6.24	5.82
74	6.21	5.83
74.5	6.18	5.84
75	6.13	5.84
75.5	6.07	5.82
76	6.02	5.81
76.5	5.97	5.78
77	5.92	5.76
77.5	5.91	5.74
78	5.91	5.71
78.5	5.91	5.7
79	5.93	5.69
79.5	5.97	5.68
80	6.01	5.68
